order_id,order_datetime,customer_id,category,product,unit_price,quantity,country,payment_method,is_refunded
ORD-128583,2024-08-24,CUST-08470,Beauty,Hair Dryer,55.55,1,GB,bank_transfer,false
ORD-100980,2024-02-01,CUST-06069,Fashion,Running Shoes,78.54,5,AU,bank_transfer,false
ORD-144963,2024-11-01,CUST-04783,Fashion,Running Shoes,27.29,3,CA,paypal,false
ORD-146272,2025-09-15,CUST-03756,Toys,Puzzle 1000pc,33.43,4,CA,card,false
ORD-130059,2024-02-09,CUST-03934,Beauty,Lip Balm,60.32,2,AU,paypal,false
ORD-108134,2024-04-05,CUST-08556,Fashion,Leather Belt,27.43,1,CA,apple_pay,false
ORD-129482,02 Sep 2025,CUST-04622,Fashion,Leather Belt,76.47,1,DE,apple_pay,false
ORD-106480,2025-04-27,CUST-01463,Home & Kitchen,Cast Iron Pan,110.18,4,IN,card,false
ORD-130143,2025-11-10,CUST-08057,Beauty,Vitamin C Serum,21.52,1,US,card,false
ORD-129684,2025-01-19,CUST-10104,Home & Kitchen,Knife Set,138.53,1,CA,bank_transfer,false
ORD-114966,28/01/2025,CUST-11911,Electronics,Mechanical Keyboard,16.95,1,DE,bank_transfer,false
ORD-128007,2024-01-08,CUST-11680,Home & Kitchen,Air Fryer,59.12,1,NZ,paypal,false
ORD-131310,30/10/2024,CUST-11094,Sports,Yoga Mat,60.1,1,NZ,card,false
ORD-106265,05/09/2024,CUST-06218,Sports,Resistance Bands,12.68,4,NZ,paypal,false
ORD-109110,2025-05-31,CUST-04563,Home & Kitchen,Knife Set,131.84,2,CA,bank_transfer,false
ORD-130185,2024-09-22,CUST-08155,Books,Atomic Habits,35.59,2,GB,bank_transfer,false
ORD-137371,2025-12-02,CUST-01221,Electronics,4K Webcam,173.29,1,,paypal,false
ORD-105762,2025-01-23,CUST-11911,Toys,Plush Bear,33.86,1,GB,bank_transfer,true
ORD-114170,2025-06-18,CUST-03185,Sports,Dumbbell Set,104.16,4,AU,paypal,false
ORD-109775,2025-01-31,CUST-06140,Beauty,Face Mask,76.72,2,AU,paypal,false
ORD-130621,2025-06-24,CUST-08196,Fashion,Wool Socks,107.54,1,IN,paypal,true
ORD-136310,2025-09-17,CUST-08681,Beauty,Hair Dryer,68.64,2,US,card,false
ORD-121115,07 Feb 2024,CUST-02945,Sports,Water Bottle,54.46,1,US,bank_transfer,false
ORD-128281,17 Jun 2024,CUST-10999,Grocery,Coffee Beans,25.4,1,SG,card,false
ORD-118875,2025-05-27,CUST-04459,Books,Atomic Habits,27.78,1,AU,bank_transfer,false
ORD-103224,2024-10-29,CUST-00860,Home & Kitchen,Air Fryer,76.33,2,GB,bank_transfer,false
ORD-126057,08 Feb 2025,CUST-07878,BOOKS,The Pragmatic Programmer,29.18,1,SG,card,false
ORD-129038,2025-02-06,CUST-05421,Grocery,Olive Oil,29.49,2,SG,card,false
ORD-126660,2025-05-11,CUST-07394,Grocery,Pasta Pack,15.08,1,GB,card,false
ORD-122310,20 Nov 2025,CUST-03160,Grocery,Green Tea,27.53,2,GB,card,false
ORD-125585,2025-11-29,CUST-00296,Sports,Yoga Mat,92.71,1,US,card,false
ORD-125751,2024-06-12,CUST-11443,Beauty,Lip Balm,16.2,1,NZ,card,true
ORD-119399,2024-07-22,CUST-01021,Books,The Pragmatic Programmer,26.21,2,SG,paypal,false
ORD-145765,2025-03-07,CUST-05171,Grocery,Pasta Pack,33.56,2,,apple_pay,false
ORD-149159,27/02/2024,CUST-02869,TOYS,Plush Bear,34.48,2,AU,card,false
ORD-139254,2025-09-27,CUST-11916,Books,Data Science Handbook,19.6,1,SG,card,false
ORD-134045,2025-04-19,CUST-10186,Books,Deep Work,32.0,2,IN,paypal,false
ORD-133154,2025-01-29,CUST-01101,Electronics,USB-C Charger,166.25,1,SG,paypal,false
ORD-104370,30/07/2024,CUST-02809,Beauty,Vitamin C Serum,37.35,2,SG,paypal,true
ORD-102027,18/10/2024,CUST-04682,Books,Deep Work,43.19,1,IN,paypal,true
ORD-146279,2025-02-26,CUST-06166,Toys,Puzzle 1000pc,78.5,1,CA,bank_transfer,false
ORD-135137,2024-07-25,CUST-00408,Sports,Cycling Gloves,94.03,3,GB,bank_transfer,false
ORD-125304,03/04/2025,CUST-07873,GROCERY,Olive Oil,19.63,1,NZ,paypal,false
ORD-124202,2025-03-31,CUST-05489,Grocery,Dark Chocolate,4.73,1,GB,apple_pay,false
ORD-129377,2025-07-30,CUST-10247,Electronics,Bluetooth Speaker,17.34,2,GB,bank_transfer,false
ORD-109568,02/02/2024,CUST-01033,Beauty,Lip Balm,59.7,2,IN,bank_transfer,false
ORD-141747,16 Jul 2024,CUST-09930,Electronics,USB-C Charger,23.45,5,NZ,paypal,false
ORD-128357,2025-01-08,CUST-10001,Home & Kitchen,Knife Set,169.49,1,US,card,false
ORD-137352,23 Jun 2024,CUST-10298,Grocery,Olive Oil,39.9,1,NZ,bank_transfer,false
ORD-124927,2024-02-11,CUST-03532,Books,Sapiens,23.99,1,CA,paypal,false
ORD-136511,2025-05-01,CUST-09086,Electronics,Wireless Earbuds,197.58,2,NZ,,false
ORD-109185,2025-11-09,CUST-03367,Sports,Yoga Mat,75.91,1,CA,bank_transfer,false
ORD-103104,2025-02-11,CUST-11770,Grocery,Olive Oil,11.68,1,AU,paypal,false
ORD-143992,13 Dec 2024,CUST-06106,Beauty,Vitamin C Serum,75.45,2,NZ,paypal,false
ORD-125637,2024-02-16,CUST-08125,Fashion,Wool Socks,79.22,2,DE,apple_pay,false
ORD-123184,2024-05-25,CUST-09249,Sports,Yoga Mat,64.51,1,SG,bank_transfer,false
ORD-112609,2025-12-04,CUST-00056,Sports,Dumbbell Set,132.62,1,NZ,apple_pay,false
ORD-131810,2024-01-26,CUST-05517,Electronics,Mechanical Keyboard,100.23,5,IN,paypal,false
ORD-149243,2025-07-25,CUST-03723,BOOKS,The Pragmatic Programmer,25.1,3,CA,bank_transfer,false
ORD-123753,2025-07-27,CUST-02659,Home & Kitchen,Knife Set,157.0,2,NZ,paypal,false
ORD-105349,2024-08-11,CUST-09598,Grocery,Green Tea,21.16,1,GB,bank_transfer,true
ORD-103443,26/07/2025,CUST-07161,Sports,Resistance Bands,19.86,1,US,apple_pay,false
ORD-105584,2025-01-08,CUST-03294,Fashion,Wool Socks,72.26,1,AU,apple_pay,false
ORD-148665,2025-06-25,CUST-11929,Books,The Pragmatic Programmer,28.35,1,SG,paypal,false
ORD-112332,01/10/2024,CUST-10705,Electronics,Wireless Earbuds,246.91,3,DE,card,false
ORD-148892,21/12/2025,CUST-02955,Electronics,Wireless Earbuds,169.56,1,CA,card,false
ORD-103121,12 Jan 2025,CUST-04959,Electronics,Mechanical Keyboard,218.11,1,NZ,,false
ORD-111510,04 Jul 2025,CUST-06379,Beauty,Hair Dryer,60.51,1,IN,bank_transfer,true
ORD-116604,22/04/2025,CUST-01012,Home & Kitchen,Cast Iron Pan,158.21,1,IN,card,false
ORD-108226,11 Nov 2025,CUST-02642,Books,Data Science Handbook,17.93,1,US,card,false
ORD-127854,2024-08-20,CUST-11624,Grocery,Coffee Beans,8.34,4,IN,bank_transfer,false
ORD-104788,2024-03-20,CUST-04619,Electronics,Wireless Earbuds,217.35,1,AU,card,false
ORD-132211,2024-10-05,CUST-05535,Electronics,Mechanical Keyboard,17.28,2,NZ,paypal,false
ORD-142049,2024-03-02,CUST-11438,Grocery,Coffee Beans,11.71,1,SG,apple_pay,false
ORD-123691,2024-09-02,CUST-00938,Home&Kitchen,Storage Boxes,20.74,1,IN,apple_pay,false
ORD-120591,2025-01-31,CUST-08990,Electronics,4K Webcam,202.51,1,IN,card,false
ORD-135036,07 Feb 2024,CUST-00144,Grocery,Olive Oil,18.7,1,SG,paypal,false
ORD-136345,2025-11-04,CUST-07563,Books,Data Science Handbook,43.74,4,IN,bank_transfer,false
ORD-135033,10 Mar 2024,CUST-10173,Grocery,Pasta Pack,22.62,1,SG,card,false
ORD-134324,2025-08-14,CUST-04143,Toys,Board Game,52.19,1,IN,bank_transfer,false
ORD-146203,28/12/2024,CUST-00575,Grocery,Coffee Beans,25.0,3,GB,apple_pay,false
ORD-126422,28/11/2025,CUST-11632,Home & Kitchen,Cast Iron Pan,12.82,1,US,apple_pay,false
ORD-125189,2024-11-04,CUST-07506,Toys,RC Car,83.96,2,DE,card,false
ORD-143470,28/04/2025,CUST-07435,Fashion,Denim Jacket,24.8,1,SG,paypal,false
ORD-122061,2025-09-26,CUST-10768,Toys,Plush Bear,79.96,2,IN,apple_pay,false
ORD-123060,2025-12-16,CUST-00594,Home & Kitchen,Knife Set,157.01,10,GB,apple_pay,false
ORD-145407,2025-03-26,CUST-05305,Electronics,Wireless Earbuds,29.99,1,GB,bank_transfer,false
ORD-111145,2025-10-24,CUST-11503,Toys,Plush Bear,88.25,1,SG,,false
ORD-137837,30/11/2025,CUST-03034,Electronics,Mechanical Keyboard,225.08,1,IN,apple_pay,false
ORD-138727,09/05/2024,CUST-06289,Grocery,Coffee Beans,38.56,2,US,paypal,false
ORD-116998,2024-12-06,CUST-00883,Grocery,Pasta Pack,33.93,1,US,apple_pay,false
ORD-119605,2025-10-21,CUST-06923,Grocery,Coffee Beans,15.46,10,CA,card,false
ORD-142077,2024-10-21,CUST-09407,Toys,Puzzle 1000pc,58.58,3,GB,card,false
ORD-125475,2025-11-22,CUST-06481,Home & Kitchen,Storage Boxes,58.75,1,US,paypal,false
ORD-145733,31 Oct 2025,CUST-02918,Grocery,Pasta Pack,15.7,4,IN,apple_pay,false
ORD-106222,2025-06-09,CUST-11224,Beauty,Lip Balm,32.05,4,SG,bank_transfer,false
ORD-108944,2024-02-27,CUST-09095,Electronics,Wireless Earbuds,117.68,5,,bank_transfer,false
ORD-125000,2025-07-24,CUST-00232,Grocery,Coffee Beans,28.54,10,AU,card,false
ORD-148797,05/02/2024,CUST-11773,Toys,Plush Bear,24.77,2,GB,bank_transfer,false
ORD-101944,2025-02-09,CUST-06915,Grocery,Dark Chocolate,32.85,2,GB,card,false
ORD-141772,2024-11-30,CUST-05154,Books,Data Science Handbook,20.05,1,SG,paypal,false
ORD-137957,2024-10-09,CUST-10518,Fashion,Cotton T-Shirt,80.44,1,DE,apple_pay,false
ORD-130528,2025-12-10,CUST-08815,Toys,Plush Bear,46.61,1,,bank_transfer,false
ORD-104488,06/03/2024,CUST-01331,Beauty,Hair Dryer,79.67,1,CA,card,false
ORD-120900,04 Oct 2025,CUST-02631,electronics,Mechanical Keyboard,15.24,1,GB,card,false
ORD-100813,2024-08-08,CUST-07211,Fashion,Running Shoes,82.83,1,NZ,bank_transfer,false
ORD-104647,01/07/2025,CUST-11033,Sports,Yoga Mat,107.82,1,GB,card,false
ORD-127427,12/10/2025,CUST-09567,Fashion,Denim Jacket,48.84,1,US,apple_pay,false
ORD-134654,2025-09-28,CUST-01381,Home & Kitchen,Cast Iron Pan,53.37,2,CA,paypal,false
ORD-148804,2025-07-26,CUST-00078,Grocery,Green Tea,6.05,10,CA,paypal,false
ORD-113753,07 Apr 2025,CUST-01705,Toys,Plush Bear,81.47,1,NZ,apple_pay,false
ORD-145751,30 Oct 2024,CUST-03611,Grocery,Olive Oil,37.58,1,SG,bank_transfer,false
ORD-107625,26 Sep 2024,CUST-02202,Beauty,Face Mask,25.16,1,IN,bank_transfer,false
ORD-124481,28/07/2024,CUST-01300,Electronics,Bluetooth Speaker,166.09,1,NZ,bank_transfer,false
ORD-127861,2025-10-07,CUST-01402,Fashion,Denim Jacket,49.17,1,DE,paypal,false
ORD-114470,2025-09-28,CUST-04150,Fashion,Denim Jacket,52.19,1,NZ,card,false
ORD-138720,2025-09-14,CUST-01078,Home & Kitchen,Storage Boxes,168.74,1,GB,apple_pay,false
ORD-102198,2024-12-21,CUST-10771,Grocery,Dark Chocolate,19.87,1,CA,card,true
ORD-121931,2024-05-12,CUST-10186,Electronics,Bluetooth Speaker,239.46,1,IN,paypal,false
ORD-135461,2024-06-10,CUST-11370,Grocery,Coffee Beans,7.78,1,NZ,bank_transfer,false
ORD-137116,2025-06-11,CUST-00541,Home & Kitchen,Knife Set,51.91,1,SG,card,true
ORD-124572,2025-10-03,CUST-02480,Fashion,Leather Belt,18.74,10,SG,paypal,false
ORD-119687,14/08/2025,CUST-00208,Books,Deep Work,16.21,3,SG,bank_transfer,false
ORD-117659,2025-03-29,CUST-10414,Toys,Building Blocks,31.04,1,,card,false
ORD-115922,2024-05-28,CUST-05961,Toys,Puzzle 1000pc,77.59,2,SG,apple_pay,false
ORD-118965,20 Oct 2025,CUST-10013,Home & Kitchen,Knife Set,136.04,3,SG,bank_transfer,true
ORD-111870,14 Jan 2024,CUST-07431,Toys,Plush Bear,27.32,2,SG,card,false
ORD-127888,2024-04-13,CUST-03719,Beauty,Nail Kit,52.45,2,GB,paypal,false
ORD-122179,2025-05-05,CUST-01178,Beauty,Hair Dryer,21.8,1,SG,bank_transfer,false
ORD-109338,2025-08-14,CUST-10746,Beauty,Hair Dryer,75.02,1,NZ,card,false
ORD-113937,2024-11-29,CUST-10122,Toys,Building Blocks,72.21,2,US,apple_pay,false
ORD-140720,2024-07-02,CUST-08225,Home & Kitchen,Air Fryer,108.41,1,US,apple_pay,false
ORD-139664,2024-08-24,CUST-06749,Beauty,Hair Dryer,79.78,2,AU,paypal,false
ORD-144663,2024-07-25,CUST-00709,Beauty,Nail Kit,65.82,1,NZ,apple_pay,false
ORD-118306,11/05/2025,CUST-03225,Grocery,Green Tea,8.4,1,DE,apple_pay,false
ORD-101816,2024-02-07,CUST-00417,Toys,Building Blocks,52.7,2,IN,bank_transfer,false
ORD-120249,2024-04-03,CUST-01731,Toys,Board Game,7.62,4,SG,apple_pay,false
ORD-131183,2025-11-12,CUST-07476, Electronics ,Mechanical Keyboard,87.77,1,AU,card,false
ORD-113220,07/09/2024,CUST-10291,Beauty,Nail Kit,73.94,1,NZ,bank_transfer,false
ORD-133255,2025-02-26,CUST-04784,Beauty,Nail Kit,18.79,4,GB,bank_transfer,false
ORD-129644,05/08/2024,CUST-07554,Electronics,Mechanical Keyboard,75.56,2,SG,card,true
ORD-111162,01 Feb 2025,CUST-09616,Sports,Cycling Gloves,103.85,4,US,bank_transfer,false
ORD-138411,21/03/2025,CUST-01659,Books,Sapiens,41.62,2,US,paypal,false
ORD-137271,05/08/2024,CUST-08971,Fashion,Running Shoes,20.12,1,IN,bank_transfer,false
ORD-119461,25/03/2025,CUST-03105,Home & Kitchen,Coffee Grinder,94.79,1,CA,card,false
ORD-130137,25 Mar 2025,CUST-04650,Fashion,Denim Jacket,92.3,1,NZ,apple_pay,false
ORD-106119,2025-01-23,CUST-10232,Toys,Plush Bear,63.12,3,US,apple_pay,false
ORD-105742,25 Sep 2025,CUST-01016,Beauty,Face Mask,63.42,1,AU,card,false
ORD-134503,2024-05-04,CUST-00297,Books,Atomic Habits,37.49,4,NZ,bank_transfer,false
ORD-117161,2024-09-27,CUST-09058,Fashion,Cotton T-Shirt,113.89,3,CA,paypal,true
ORD-130384,2024-12-25,CUST-09522,Toys,Puzzle 1000pc,28.32,3,NZ,paypal,false
ORD-124825,2024-11-18,CUST-09097,Fashion,Denim Jacket,51.2,5,CA,bank_transfer,false
ORD-149807,2025-11-30,CUST-07760,Electronics,Bluetooth Speaker,29.18,2,AU,card,false
ORD-142837,2024-01-21,CUST-10372,Toys,Building Blocks,43.4,1,CA,apple_pay,false
ORD-134929,2025-08-13,CUST-07740,Electronics,Wireless Earbuds,120.73,2,US,paypal,false
ORD-118373,2024-12-23,CUST-11699,Grocery,Green Tea,8.07,1,GB,bank_transfer,false
ORD-148933,2025-10-10,CUST-03448,Electronics,Mechanical Keyboard,135.01,1,IN,card,false
ORD-126954,02/05/2025,CUST-01920,Sports,Cycling Gloves,62.25,1,US,apple_pay,false
ORD-111208,2025-11-13,CUST-09360,Sports,Yoga Mat,116.55,1,DE,paypal,false
ORD-118789,17/10/2025,CUST-05852,Home & Kitchen,Knife Set,80.67,5,DE,card,false
ORD-105474,2025-10-01,CUST-10619,Home & Kitchen,Coffee Grinder,80.79,2,SG,apple_pay,false
ORD-113132,2025-05-18,CUST-01796,Books,The Pragmatic Programmer,22.53,1,DE,apple_pay,false
ORD-135543,31/10/2024,CUST-10616,Fashion,Wool Socks,54.82,2,GB,paypal,false
ORD-145090,11/04/2025,CUST-07360,Grocery,Pasta Pack,21.77,1,SG,bank_transfer,true
ORD-149778,2024-11-21,CUST-07912,Fashion,Wool Socks,60.71,1,IN,bank_transfer,false
ORD-103518,2025-07-28,CUST-11478,Books,The Pragmatic Programmer,21.8,1,AU,paypal,true
ORD-137175,16 Oct 2025,CUST-00562,Electronics,Mechanical Keyboard,219.38,3,CA,paypal,false
ORD-112331,2024-08-07,CUST-10591,Beauty,Face Mask,31.07,2,IN,paypal,false
ORD-115712,2025-12-06,CUST-09749,Books,Atomic Habits,30.93,1,AU,bank_transfer,false
ORD-106541,19/11/2025,CUST-10352,Fashion,Leather Belt,59.97,3,DE,,false
ORD-121546,07/01/2025,CUST-07179,Electronics,USB-C Charger,240.18,2,DE,card,false
ORD-145421,2025-05-19,CUST-02026,Grocery,Olive Oil,10.11,1,GB,paypal,false
ORD-129679,2025-11-23,CUST-03858,Home & Kitchen,Cast Iron Pan,135.24,3,US,bank_transfer,false
ORD-129015,2024-02-12,CUST-04138,Fashion,Leather Belt,77.52,2,DE,bank_transfer,false
ORD-143129,2025-08-08,CUST-00241, Home & Kitchen ,Cast Iron Pan,52.86,2,CA,bank_transfer,false
ORD-136921,26/07/2024,CUST-04870,Home & Kitchen,Storage Boxes,118.04,1,US,apple_pay,false
ORD-136438,29/01/2025,CUST-07912,Sports,Dumbbell Set,135.89,1,IN,card,true
ORD-124499,2024-03-16,CUST-10486,Beauty,Lip Balm,70.44,2,AU,bank_transfer,false
ORD-100330,2024-05-29,CUST-03826,Sports,Water Bottle,33.95,1,GB,apple_pay,false
ORD-141850,2025-05-05,CUST-04403,Home & Kitchen,Coffee Grinder,65.67,2,US,paypal,false
ORD-116295,2025-02-01,CUST-07579,Books,Atomic Habits,28.9,1,IN,apple_pay,false
ORD-149950,2024-03-08,CUST-04646,Grocery,Olive Oil,15.9,1,SG,apple_pay,false
ORD-136567,2025-03-09,CUST-04302,Fashion,Leather Belt,22.88,1,DE,apple_pay,false
ORD-132413,2024-01-04,CUST-08184,Beauty,Vitamin C Serum,50.4,1,CA,apple_pay,false
ORD-107917,2024-11-23,CUST-08293,Grocery,Pasta Pack,38.47,3,DE,bank_transfer,false
ORD-146658,2025-08-23,CUST-06895,Books,Data Science Handbook,13.58,1,NZ,paypal,false
ORD-100568,2024-11-29,CUST-03827,Grocery,Green Tea,18.29,1,CA,card,false
ORD-118592,03/01/2025,CUST-00352,Electronics,USB-C Charger,203.01,1,GB,bank_transfer,false
ORD-130052,2025-06-19,CUST-10906,Home & Kitchen,Air Fryer,132.22,2,GB,apple_pay,false
ORD-111926,2025-02-15,CUST-10116,Electronics,Wireless Earbuds,186.18,2,IN,bank_transfer,false
ORD-110390,23 Apr 2025,CUST-02974,Home & Kitchen,Air Fryer,147.31,1,NZ,bank_transfer,false
ORD-106580,2025-01-23,CUST-03634,Fashion,Denim Jacket,117.53,1,NZ,bank_transfer,false
ORD-102339,2024-03-18,CUST-10387,Sports,Dumbbell Set,118.61,1,US,paypal,false
ORD-132879,2025-04-26,CUST-03358,ELECTRONICS,Mechanical Keyboard,76.54,1,CA,bank_transfer,false
ORD-149941,2025-08-21,CUST-00700,Electronics,4K Webcam,136.73,3,CA,card,false
ORD-145559,19/12/2025,CUST-07718,Beauty,Lip Balm,56.05,1,IN,apple_pay,true
ORD-149292,28/05/2025,CUST-02115,Books,Data Science Handbook,39.53,1,DE,paypal,false
ORD-115113,30/06/2024,CUST-00936, Fashion ,Wool Socks,86.89,3,IN,card,false
ORD-134718,2024-11-21,CUST-11728,Books,Data Science Handbook,33.6,1,US,paypal,false
ORD-129773,02/11/2025,CUST-07361,Sports,Water Bottle,28.56,5,NZ,apple_pay,false
ORD-109235,2025-08-15,CUST-01466,Electronics,4K Webcam,47.29,4,IN,bank_transfer,false
ORD-135257,2024-11-24,CUST-04197,Sports,Dumbbell Set,85.24,5,US,card,false
ORD-123063,25/03/2025,CUST-04229,Electronics,Bluetooth Speaker,126.18,1,AU,paypal,false
ORD-102947,2025-03-29,CUST-03599,Sports,Water Bottle,132.05,2,DE,bank_transfer,false
ORD-123506,16/06/2025,CUST-02670,Electronics,USB-C Charger,204.88,1,IN,card,false
ORD-135553,2024-05-12,CUST-07065,Grocery,Dark Chocolate,31.59,2,US,card,false
ORD-105833,2024-11-04,CUST-10653,Books,The Pragmatic Programmer,18.48,1,GB,paypal,false
ORD-106333,2025-04-18,CUST-02814,Grocery,Coffee Beans,10.26,1,DE,card,false
ORD-110162,2024-12-25,CUST-10760,Grocery,Dark Chocolate,23.35,2,SG,bank_transfer,false
ORD-111539,2024-10-16,CUST-11439,Toys,Plush Bear,85.93,3,,card,false
ORD-147180,2024-07-09,CUST-07611,Beauty,Vitamin C Serum,19.0,1,NZ,,false
ORD-133228,2024-06-09,CUST-03045,Home & Kitchen,Knife Set,45.24,2,DE,card,false
ORD-121889,2025-11-16,CUST-05811,Grocery,Olive Oil,18.57,3,SG,apple_pay,false
ORD-124637,2024-02-05,CUST-07173,Grocery,Dark Chocolate,26.96,4,CA,paypal,false
ORD-144354,2025-03-19,CUST-03749,Home & Kitchen,Storage Boxes,111.74,1,SG,bank_transfer,false
ORD-129900,10/06/2024,CUST-04278,Sports,Yoga Mat,87.91,10,NZ,bank_transfer,false
ORD-126575,2025-01-24,CUST-09585,Books,Data Science Handbook,38.13,5,AU,bank_transfer,false
ORD-128890,27/08/2025,CUST-11253,Toys,Puzzle 1000pc,9.67,1,US,bank_transfer,false
ORD-117893,2025-10-23,CUST-09456,Toys,Puzzle 1000pc,72.79,3,DE,bank_transfer,false
ORD-109782,2024-06-27,CUST-04138,toys,Board Game,32.46,1,US,paypal,false
ORD-147144,03 Oct 2025,CUST-10349,Fashion,Wool Socks,84.19,2,AU,bank_transfer,false
ORD-120610,30/11/2024,CUST-04597,Grocery,Pasta Pack,22.73,2,CA,card,false
ORD-107981,06 Feb 2024,CUST-10014,Beauty,Hair Dryer,41.8,1,SG,bank_transfer,false
ORD-104083,2024-09-20,CUST-03345,toys,Plush Bear,52.46,5,IN,bank_transfer,false
ORD-106769,2024-05-28,CUST-02780,Electronics,Bluetooth Speaker,41.88,3,IN,apple_pay,false
ORD-133266,2025-11-07,CUST-00806,Books,The Pragmatic Programmer,31.11,10,AU,paypal,false
ORD-135328,18/02/2024,CUST-08694,Toys,Building Blocks,89.17,1,AU,bank_transfer,false
ORD-105724,2024-04-19,CUST-06503,Books,Sapiens,23.01,2,,paypal,false
ORD-116318,2024-04-27,CUST-05146,Fashion,Running Shoes,67.43,2,AU,card,false
ORD-120707,2025-01-31,CUST-10053,Toys,RC Car,54.62,1,CA,bank_transfer,false
ORD-119290,12 Oct 2025,CUST-05088,Sports,Resistance Bands,118.79,1,GB,bank_transfer,false
ORD-107693,2025-04-21,CUST-07274,Beauty,Lip Balm,25.6,1,SG,paypal,false
ORD-132205,03/01/2025,CUST-05353,Electronics,USB-C Charger,155.34,2,DE,paypal,false
ORD-137414,2024-08-28,CUST-09608,Fashion,Wool Socks,107.79,3,US,paypal,false
ORD-135668,2025-09-09,CUST-05977,Fashion,Running Shoes,23.21,1,AU,card,false
ORD-143630,2024-04-22,CUST-00709,Electronics,Wireless Earbuds,69.93,3,IN,card,false
ORD-106235,2025-12-15,CUST-11217,Toys,Building Blocks,65.58,1,CA,apple_pay,false
ORD-123233,2024-10-14,CUST-06000,Electronics,USB-C Charger,38.67,2,CA,apple_pay,false
ORD-139839,19 Jan 2025,CUST-11549,Books,Deep Work,32.81,1,US,apple_pay,false
ORD-145042,2025-09-05,CUST-04056,Toys,RC Car,33.91,1,DE,card,false
ORD-121020,12/03/2024,CUST-02163,Fashion,Cotton T-Shirt,31.11,10,IN,apple_pay,false
ORD-118100,2024-07-27,CUST-03719,Books,Atomic Habits,41.0,1,GB,apple_pay,false
ORD-134738,2024-09-05,CUST-03225,Electronics,Bluetooth Speaker,87.18,1,DE,paypal,false
ORD-139079,2025-02-23,CUST-11491,Grocery,Pasta Pack,35.0,1,SG,paypal,false
ORD-118759,2024-03-06,CUST-08256,Books,Deep Work,15.91,2,IN,paypal,false
ORD-106361,2024-07-17,CUST-04853,Toys,Plush Bear,58.3,2,NZ,bank_transfer,true
ORD-134500,26/03/2025,CUST-01793,Beauty,Lip Balm,12.11,1,SG,bank_transfer,false
ORD-122646,2024-06-28,CUST-05705,Electronics,USB-C Charger,22.59,2,GB,apple_pay,false
ORD-120698,2025-02-18,CUST-02547,Sports,Cycling Gloves,122.89,2,DE,card,false
ORD-126931,19/01/2025,CUST-01460,electronics,Mechanical Keyboard,57.87,1,SG,paypal,false
ORD-139600,2025-07-25,CUST-07968, Sports ,Dumbbell Set,95.2,1,AU,apple_pay,false
ORD-120584,2025-09-01,CUST-03954,Grocery,Coffee Beans,23.41,1,NZ,bank_transfer,true
ORD-128055,2025-12-02,CUST-04533,Electronics,USB-C Charger,42.63,1,CA,bank_transfer,false
ORD-108249,30/04/2024,CUST-11648,Toys,Plush Bear,67.08,1,SG,paypal,false
ORD-142880,2024-11-15,CUST-07569,Home & Kitchen,Storage Boxes,132.5,1,CA,card,false
ORD-103815,18/03/2024,CUST-09350,Grocery,Green Tea,25.32,1,CA,paypal,false
ORD-147238,2024-01-16,CUST-03765,Toys,Plush Bear,40.36,4,DE,card,false
ORD-146649,18 Sep 2024,CUST-06876,Grocery,Pasta Pack,36.83,1,DE,bank_transfer,false
